date,strategy_net_return,equal_weight_buy_hold_net_return,hs300_price_return_before_costs
2026-07-27,0.0,0.0,0.0
2026-07-28,0.0,0.0040599999999999525,-0.02826263969648002
2026-07-29,0.0,0.0029181523016552635,0.006726740028063949
2026-07-30,0.0,0.011161977775350218,-0.010986765536397547
2026-07-31,0.0,-0.005617591310411174,0.0084570039474956
2026-08-03,-0.0020253159999999992,0.001688872208669645,-0.009811915225087398
2026-08-04,-0.005310755959015867,-0.009090729821932153,0.012711806581208185
2026-08-05,-0.0033545733095374786,-0.002587064676616957,0.012437702812257312
2026-08-06,0.00012129240894576121,-0.0008778930566639698,-0.0014694659151529565
2026-08-07,-0.005376644650411766,-0.0034447639587826817,0.00927201154083468
2026-08-10,0.0018153265765137316,0.0031160139068402426,0.0016163812614802264
2026-08-11,-0.004111881117939364,-0.0014283145887852289,-0.008131815547556598
2026-08-12,-2.0369146041310238e-05,-0.002040510127531925,0.005816729701965562
2026-08-13,0.0008147824380766444,0.000461055817822853,-0.0057485561991398315
2026-08-14,-0.007408483883936223,-0.005740505124377626,0.0004138122377357334
2026-08-17,-0.0006411960445300569,-0.001219217282656837,0.01612064259675705
2026-08-18,-0.0005834736668366425,-0.00027238885021640957,-0.0032239367336426294
2026-08-19,0.010265011325191864,0.00772987809800596,-0.02901447856696826
2026-08-20,0.0011379996887286303,0.0013418517554224518,0.0008834753925734962
2026-08-21,0.0004668614411245109,0.001570062802512151,0.0056926677916282475
2026-08-24,0.007227213506236563,0.008506984313999544,-0.012073883472129121
2026-08-25,0.00015107453789475755,0.0009603484975990728,-0.002431227533224445
2026-08-26,0.00477323428331089,0.004332258511206444,0.008515096441523928
2026-08-27,-0.004269489512553237,-0.002885562339964509,0.008600473033640865
2026-08-28,-0.00012078299193007958,-1.975367171369591e-05,-0.004557178760579483
2026-08-31,0.0061304772978429956,0.0044644179959503205,0.0034518100415346087
2026-09-01,0.008644431429461363,0.006883192227892687,-0.0029506478366023714
2026-09-02,-0.00014879072333406906,-0.0017480980888111564,-0.01376641868189088
2026-09-03,0.0005654888881700959,0.003208828190729651,0.0010162807203939472
2026-09-04,0.0038966935341735454,0.0027012267665242895,-0.0009946013006257859
2026-09-07,-0.00706852838426808,-0.008762630928877746,0.005931113334286087
2026-09-08,0.0007460306387958582,-0.0020309648554777127,-0.0035601991245948206
2026-09-09,-0.0010933625882439957,0.0013862262203214737,0.0030409738486778526
2026-09-10,0.005821065572800155,0.0039467483506125944,-0.00529458076367928
2026-09-11,-0.0032646741332224005,-0.0031195603277983652,-0.008406271230039786
2026-09-14,0.005002378904116256,0.0029331266737950834,-0.006667841792576845
2026-09-15,-0.004947851809697146,-0.003667912126606554,-0.006705680833520522
2026-09-16,-0.0035730213981373105,-0.004780931250797593,0.00679274793035578
2026-09-17,-0.0037950072886102637,-0.0021997316919192267,-0.004489017174865495
2026-09-18,0.0018297426631621594,0.00035589651320266924,0.01059088516186435
